REGO,ID,C01_LNO,C03_REL,C04_SEX,C05_AGE,C06_STATUS,C08_CUR_ATTEND,C09_CUR_GRADE,C10_YNOT_ATTND,C12_HGC,C13_DID_WORK,C14_CLS_WKR,PPENSSS01,PPENGSIS02,PPHEALTH03A,PPHEALTH03B,PINSURANCE04,PPS01,PTWSP02,PCBEP03,PSBSFAG04,PSBSFAP05,SEAK01,CBLP02,PEAF03,SKILLS04,PSFEED05,MEM_RFACT
12,0000000010001,01,1,1,44,2, ,   ,  ,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01018.7091
12,0000000010001,02,2,2,51,2, ,   ,  ,250,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00912.7401
12,0000000010001,03,3,2,19,1,1,720,  ,710,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.6366
12,0000000010001,04,3,1,17,1,1,510,  ,500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00959.2239
12,0000000010001,05,3,2,13,1,1,470,  ,460,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00845.5937
12,0000000010002,01,1,1,52,2, ,   ,  ,230,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00844.6748
12,0000000010002,02,2,2,48,2, ,   ,  ,220,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00850.0652
12,0000000010002,03,3,2,12,1,1,460,  ,450,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00845.5937
12,0000000010002,04,3,2,31,4, ,   ,  ,230,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01354.9049
12,0000000010002,05,6,1,10,1,1,440,  ,430,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00836.7753
12,0000000010002,06,6,1,06,1,3,   ,09,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00931.5695
12,0000000010002,07,6,2,04,1,3,   ,09,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00992.9778
12,0000000010002,08,6,1,09,1,1,430,  ,420,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00931.5695
12,0000000010002,09,6,1,08,1,1,420,  ,410,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00931.5695
12,0000000010002,10,6,1,02,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01094.0422
12,0000000010003,01,1,1,53,2, ,   ,  ,250,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00844.6748
